                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55112,                0.88817,                      1,                0.67054,              0.0002371,              0.0002371,              0.0002371
                      2,                 0.1493,                0.90753,                      1,                0.64782,             0.00042806,             0.00042806,             0.00042806
                      3,                 0.0998,                0.90538,                      1,                0.64635,              0.0005719,              0.0005719,              0.0005719
                      4,                0.09766,                0.89247,                      1,                0.65293,             0.00050194,             0.00050194,             0.00050194
                      5,                0.05766,                0.87527,                      1,                0.66719,             0.00043126,             0.00043126,             0.00043126
                      6,                0.06276,                0.88817,                      1,                0.66266,             0.00036057,             0.00036057,             0.00036057
                      7,                0.04715,                0.89892,                      1,                0.64821,             0.00028988,             0.00028988,             0.00028988
                      8,                0.04475,                0.89677,                      1,                0.64886,              0.0002192,              0.0002192,              0.0002192
                      9,                0.03755,                0.90753,                      1,                0.64163,             0.00014851,             0.00014851,             0.00014851
                     10,                0.03654,                0.91398,                      1,                0.63822,             7.7826e-05,             7.7826e-05,             7.7826e-05
